Gestion;Mes;Nivel_de_Administracion;Institucion;Fuente_de_Financiamiento;Grupo_de_Gasto;Objeto_de_Gasto; Aprobado ; Vigente ; Ejecutado_del_Mes ; Ejecutado_Acumulado ; Saldo_Disponible ; %_de_Ejecucion,,,,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;12410 - Decimotercer Mes; 14,867 ; 14,867 ; -   ; -   ; 14,867 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;12420 - Decimocuarto Mes; 14,867 ; 14,867 ; -   ; -   ; 14,867 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;12550 - Contribuciones para Seguro Social; 236,004 ; 236,004 ; 8,100 ; 8,100 ; 227,904 ; 3.4,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;13000 - Asignaciones Familiares; 85,900 ; 85,900 ; -   ; -   ; 85,900 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;14100 - Horas Extraordinarias; 20,000 ; 20,000 ; -   ; -   ; 20,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;15900 - Otras Asistencia Social al Personal; 920,000 ; 920,000 ; 70,825 ; 70,825 ; 849,175 ; 7.7,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;16200 - Compensaciones; 16,000 ; 16,000 ; 16,000 ; 16,000 ; -   ; 100.0,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21100 - Energia Electrica; 3030,000 ; 3030,000 ; 210,620 ; 210,620 ; 2819,380 ; 7.0,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21200 - Agua; 300,000 ; 300,000 ; 25,000 ; 25,000 ; 275,000 ; 8.3,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21410 - Correo Postal; 10,000 ; 10,000 ; 3,000 ; 3,000 ; 7,000 ; 30.0,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21420 - Telefonia Fija; 680,000 ; 680,000 ; 56,700 ; 56,700 ; 623,300 ; 8.3,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;22100 - Alquiler de Edificios,Viviendas y Locales; 200,000 ; 200,000 ; 20,100 ; 20,100 ; 179,900 ; 10.1,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;22900 - Otros Alquileres; 15,000 ; 15,000 ; 7,500 ; 7,500 ; 7,500 ; 50.0,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23100 - Mantenimiento y Reparacion de Edificios y Locales; 3,000 ; 3,000 ; -   ; -   ; 3,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23320 - Mantenimiento y Reparacion de Equipos de Traccion y Elevacion; 162,000 ; 162,000 ; -   ; -   ; 162,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23360 - Mantenimiento y Reparacion de Equipo de Oficina y Muebles; 10,000 ; 10,000 ; -   ; -   ; 10,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23370 - Mantenimiento y Reparacion de Equipos de Comunicacion; 5,000 ; 5,000 ; -   ; -   ; 5,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23390 - Mantenimiento y Reparacion de Otros Equipos; 5,000 ; 5,000 ; -   ; -   ; 5,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23500 - Limpieza,Aseo y Fumigacion; 2,000 ; 2,000 ; -   ; -   ; 2,000 ; -,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;24300 - Servicios Juridicos; 5,000 ; 5,000 ; -   ; -   ; 5,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;24500 - Servicios de Capacitacion; 5,000 ; 5,000 ; -   ; -   ; 5,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;24720 - Servicios de Consultoria de Monitoreo y Evaluacion; 108,000 ; 108,000 ; -   ; -   ; 108,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25100 - Servicio de Transporte; 20,000 ; 20,000 ; -   ; -   ; 20,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25300 - Servicio de Imprenta,Publicaciones y Reproducciones; 15,000 ; 15,000 ; -   ; -   ; 15,000 ; -,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25400 - Primas y Gastos de Seguro; 250,000 ; 250,000 ; -   ; -   ; 250,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25500 - Comisiones y Gastos Bancarios; 1,000 ; 1,000 ; -   ; -   ; 1,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25700 - Servicio de Internet; 114,000 ; 114,000 ; -   ; -   ; 114,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26110 - Pasajes Nacionales; 5,000 ; 5,000 ; -   ; -   ; 5,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26120 - Pasajes al Exterior; 20,000 ; 20,000 ; -   ; -   ; 20,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26210 - Viaticos Nacionales; 50,875 ; 50,875 ; -   ; -   ; 50,875 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26220 - Viaticos al Exterior; 40,000 ; 40,000 ; 7,600 ; 7,600 ; 32,400 ; 19.0,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;27210 - Tasas; 95,000 ; 95,000 ; -   ; -   ; 95,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;29200 - Servicios de Vigilancia; 185,000 ; 185,000 ; -   ; -   ; 185,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;31100 - Alimentos y Bebidas para Personas; 8,000 ; 8,000 ; -   ; -   ; 8,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;31500 - Madera,Corcho y sus Manufacturas; 1,000 ; 1,000 ; -   ; -   ; 1,000 ; -,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;33100 - Papel de Escritorio; 8,000 ; 8,000 ; -   ; -   ; 8,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;33200 - Papel para Computacion; 2,000 ; 2,000 ; -   ; -   ; 2,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;33300 - Productos de Artes Graficas; 5,000 ; 5,000 ; -   ; -   ; 5,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;33400 - Productos de Papel y Carton; 5,000 ; 5,000 ; -   ; -   ; 5,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;33500 - Libros,Revistas y Periodicos; 5,000 ; 5,000 ; -   ; -   ; 5,000 ; -,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;34400 - Llantas y Camaras de Aire; 6,000 ; 6,000 ; -   ; -   ; 6,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;35210 - Productos Farmaceuticos y Medicinales Varios; 5,000 ; 5,000 ; -   ; -   ; 5,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;35400 - Insecticidas,Fumigantes y Otros; 1,000 ; 1,000 ; -   ; -   ; 1,000 ; -,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;35500 - Tintas,Pinturas y Colorantes; 1,000 ; 1,000 ; -   ; -   ; 1,000 ; -,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;35610 - Gasolina; 5,000 ; 5,000 ; -   ; -   ; 5,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;35620 - Diesel; 16,000 ; 16,000 ; -   ; -   ; 16,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;35650 - Aceites y Grasas Lubricantes; 3,000 ; 3,000 ; -   ; -   ; 3,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;35800 - Productos de Material Plastico; 1,000 ; 1,000 ; -   ; -   ; 1,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;36400 - Herramientas Menores; 1,000 ; 1,000 ; -   ; -   ; 1,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;36920 - Accesorios de Metal; 1,000 ; 1,000 ; -   ; -   ; 1,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;36930 - Elementos de Ferreteria; 2,502 ; 2,502 ; -   ; -   ; 2,502 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;37200 - Productos de Vidrio; 1,000 ; 1,000 ; -   ; -   ; 1,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;37400 - Productos de Cemento,Asbesto y Yeso; 1,000 ; 1,000 ; -   ; -   ; 1,000 ; -,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;37500 - Cemento,Cal y Yeso; 1,000 ; 1,000 ; -   ; -   ; 1,000 ; -,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;39100 - Elementos de Limpieza y Aseo Personal; 10,000 ; 10,000 ; -   ; -   ; 10,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;39200 - Utiles de Escritorio,Oficina y Ensenanza; 5,000 ; 5,000 ; -   ; -   ; 5,000 ; -,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;39300 - Utiles y Materiales Electricos; 3,000 ; 3,000 ; -   ; -   ; 3,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;39400 - Utensilios de Cocina y Comedor; 1,000 ; 1,000 ; -   ; -   ; 1,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;39510 - Instrumental Medico Quirurgico Menor; 2,000 ; 2,000 ; -   ; -   ; 2,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;39600 - Repuestos y Accesorios; 9,000 ; 9,000 ; -   ; -   ; 9,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;50000 - TRANSFERENCIAS Y DONACIONES;51230 - Otras Transferencias; 29002,003 ; 29002,003 ; -   ; -   ; 29002,003 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;50000 - TRANSFERENCIAS Y DONACIONES;53310 - Transferencias  a Organismos Internacionales - Cuotas Ordinarias; 307,153 ; 307,153 ; 25,596 ; 25,596 ; 281,557 ; 8.3,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;12 - Recursos Propios;20000 - SERVICIOS NO PERSONALES;23320 - Mantenimiento y Reparacion de Equipos de Traccion y Elevacion; 381,690 ; 381,690 ; -   ; -   ; 381,690 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;12 - Recursos Propios;20000 - SERVICIOS NO PERSONALES;25300 - Servicio de Imprenta,Publicaciones y Reproducciones; 479,740 ; 479,740 ; -   ; -   ; 479,740 ; -,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;12 - Recursos Propios;20000 - SERVICIOS NO PERSONALES;25400 - Primas y Gastos de Seguro; 724,860 ; 724,860 ; -   ; -   ; 724,860 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;12 - Recursos Propios;20000 - SERVICIOS NO PERSONALES;26210 - Viaticos Nacionales; 1915,460 ; 1915,460 ; -   ; -   ; 1915,460 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;12 - Recursos Propios;30000 - MATERIALES Y SUMINISTROS;33100 - Papel de Escritorio; 636,800 ; 636,800 ; -   ; -   ; 636,800 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;12 - Recursos Propios;30000 - MATERIALES Y SUMINISTROS;33400 - Productos de Papel y Carton; 319,990 ; 319,990 ; -   ; -   ; 319,990 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;12 - Recursos Propios;30000 - MATERIALES Y SUMINISTROS;35620 - Diesel; 956,800 ; 956,800 ; -   ; -   ; 956,800 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;12 - Recursos Propios;30000 - MATERIALES Y SUMINISTROS;39200 - Utiles de Escritorio,Oficina y Ensenanza; 319,990 ; 319,990 ; -   ; -   ; 319,990 ; -,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;12 - Recursos Propios;30000 - MATERIALES Y SUMINISTROS;39600 - Repuestos y Accesorios; 934,670 ; 934,670 ; -   ; -   ; 934,670 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;12 - Recursos Propios;50000 - TRANSFERENCIAS Y DONACIONES;51230 - Otras Transferencias; 5000,000 ; 5000,000 ; -   ; -   ; 5000,000 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11100 - Sueldos Basicos; 38209,657 ; 38209,657 ; 556,884 ; 556,884 ; 37652,773 ; 1.5,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11400 - Adicionales; 4165,195 ; 4165,195 ; -   ; -   ; 4165,195 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11510 - Decimotercer Mes; 3184,136 ; 3184,136 ; -   ; -   ; 3184,136 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11520 - Decimocuarto Mes; 3184,136 ; 3184,136 ; -   ; -   ; 3184,136 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11600 - Complementos; 3184,136 ; 3184,136 ; -   ; -   ; 3184,136 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11710 - Contribuciones al Instituto Nacional de Jubilaciones y Pensiones de los Empleados y Funcionarios del; 5540,400 ; 5540,400 ; 413,902 ; 413,902 ; 5126,498 ; 7.5,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11750 - Contribuciones para Seguro Social; 1265,413 ; 1265,413 ; 100,458 ; 100,458 ; 1164,955 ; 7.9,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21100 - Energia Electrica; 865,000 ; 865,000 ; -   ; -   ; 865,000 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21200 - Agua; 67,720 ; 67,720 ; -   ; -   ; 67,720 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21410 - Correo Postal; 1,400 ; 1,400 ; -   ; -   ; 1,400 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21420 - Telefonia Fija; 714,000 ; 714,000 ; -   ; -   ; 714,000 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21430 - Telefonia Celular; 45,000 ; 45,000 ; -   ; -   ; 45,000 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;22100 - Alquiler de Edificios,Viviendas y Locales; 3398,635 ; 3398,635 ; -   ; -   ; 3398,635 ; -,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23100 - Mantenimiento y Reparacion de Edificios y Locales; 90,000 ; 90,000 ; -   ; -   ; 90,000 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23200 - Mantenimiento y Reparacion de Equipos y Medios de Transporte; 611,000 ; 611,000 ; -   ; -   ; 611,000 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23350 - Mantenimiento y Reparacion de Equipo para Computacion; 811,132 ; 811,132 ; -   ; -   ; 811,132 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23360 - Mantenimiento y Reparacion de Equipo de Oficina y Muebles; 20,000 ; 20,000 ; -   ; -   ; 20,000 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23370 - Mantenimiento y Reparacion de Equipos de Comunicacion; 15,000 ; 15,000 ; -   ; -   ; 15,000 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23390 - Mantenimiento y Reparacion de Otros Equipos; 103,000 ; 103,000 ; -   ; -   ; 103,000 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23500 - Limpieza,Aseo y Fumigacion; 1066,000 ; 1066,000 ; -   ; -   ; 1066,000 ; -,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;24710 - Servicios de Consultoria de Gestion Administrativa,Financiera y Actividades Conexas; 307,500 ; 307,500 ; -   ; -   ; 307,500 ; -,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25100 - Servicio de Transporte; 355,000 ; 355,000 ; -   ; -   ; 355,000 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25200 - Servicio de Almacenamiento; 1,500 ; 1,500 ; -   ; -   ; 1,500 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25300 - Servicio de Imprenta,Publicaciones y Reproducciones; 65,000 ; 65,000 ; -   ; -   ; 65,000 ; -,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25400 - Primas y Gastos de Seguro; 547,300 ; 547,300 ; -   ; -   ; 547,300 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25500 - Comisiones y Gastos Bancarios; 30,000 ; 30,000 ; -   ; -   ; 30,000 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25700 - Servicio de Internet; 885,013 ; 885,013 ; -   ; -   ; 885,013 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26110 - Pasajes Nacionales; 4614,699 ; 4614,699 ; -   ; -   ; 4614,699 ; -,,,,,
2018;Enero;Administracion Central;0003 - Comisionado Nacional de Derechos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26120 - Pasajes al Exterior; 60,000 ; 60,000 ; -   ; -   ; 60,000 ; -,,,,,
